link,title,address,lat,lan,country,price,img_src,occupancy:,suites:,storeys:,developer:
https://precondo.ca/eagle-woods-townhouse/,Eagle Woods Townhouse,"Decorso Dr, Guelph, ON",43.5257499,-80.1922332,Canada,N/A,"['https://precondo.ca/wp-content/uploads/2024/09/Eagle-Woods-exterior-view-4.jpg', 'https://precondo.ca/wp-content/uploads/2024/09/Eagle-Woods-exterior-view.jpg', 'https://precondo.ca/wp-content/uploads/2024/09/Eagle-Woods-exterior-view-3.jpg', 'https://precondo.ca/wp-content/uploads/2024/09/Eagle-Woods-exterior-view-2.jpg', 'https://precondo.ca/wp-content/uploads/2024/09/Eagle-Woods-bedroom-area.jpg', 'https://precondo.ca/wp-content/uploads/2024/09/Eagle-Woods-bedroom-area-2.jpg', 'https://precondo.ca/wp-content/uploads/2024/09/Eagle-Woods-bath-area.jpg', 'https://precondo.ca/wp-content/uploads/2024/09/Eagle-Woods-kitchen-area.jpg', 'https://precondo.ca/wp-content/uploads/2024/09/Eagle-Woods-kitchen-area-featuring-stairs-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/09/Eagle-Woods-site-plan.jpg']",2024,550,N/A,John
https://precondo.ca/eagle-glen-homes/,Eagle Glen Homes,"Williamson Drive West & Searell Avenue,  Ajax,   ON",43.8816573,-79.052628,Canada,N/A,['https://precondo.ca/wp-content/uploads/2024/02/precondo.jpeg'],tba,N/A,N/A,John
https://precondo.ca/manhattan-place-homes/,Manhattan Place Homes,,43.8722495,-79.0592312,Canada,N/A,"['https://precondo.ca/wp-content/uploads/2024/02/manhattan-place-homes-4.jpg', 'https://precondo.ca/wp-content/uploads/2024/02/manhattan-place-homes-3.jpg', 'https://precondo.ca/wp-content/uploads/2024/02/manhattan-place-homes-2.jpg', 'https://precondo.ca/wp-content/uploads/2024/02/manhattan-place-homes-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/02/manhattan-place-homes.jpg']",tba,N/A,N/A,Fourteen
https://precondo.ca/atowns/,aTowns,"Bayly Street East & Salem Road South,  Ajax,   ON",43.846747,-79.005909,Canada,N/A,"['https://precondo.ca/wp-content/uploads/2024/02/01-33.jpg', 'https://precondo.ca/wp-content/uploads/2024/02/02-1-4.jpg', 'https://precondo.ca/wp-content/uploads/2024/02/03-2-8.jpg', 'https://precondo.ca/wp-content/uploads/2024/02/04-16.jpg', 'https://precondo.ca/wp-content/uploads/2024/02/05-1-6.jpg', 'https://precondo.ca/wp-content/uploads/2024/02/06-7.jpg', 'https://precondo.ca/wp-content/uploads/2024/02/07-1-3.jpg']",2021,N/A,N/A,Paradise
https://precondo.ca/monteverdi-estates/,Monteverdi Estates,"Yonge Street & Bloomington Road,  Aurora,   ON",43.9629904,-79.4587584,Canada,"$ 2,949,990+","['https://precondo.ca/wp-content/uploads/2024/04/01-24.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/13-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/02-17.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/03-12.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/04-8.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/05-6.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/06-4.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/07-3.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/08-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/09-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/10-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/12-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/11-1.jpg']",2024,50,,Ambria
https://precondo.ca/high-park-urban-towns/,High Park Urban Towns,"15086 Yonge Street,  Aurora,   ON",43.9958,-79.46689,Canada,"$ 749,990+","['https://precondo.ca/wp-content/uploads/2024/04/01-21.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/02-14.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/11.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/04-6.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/05-4.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/12.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/13.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/14.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/16.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/06-2.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/15.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/03-9.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/10.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/09.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/07-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/17.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/08.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/18.jpg']",2024,53,4,Caliber
https://precondo.ca/allegro-homes/,Allegro Homes,"36 Klees Crescent,  Aurora,   ON",43.9865938,-79.4899659,Canada,N/A,"['https://precondo.ca/wp-content/uploads/2024/04/01-28.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/02-21.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/03-16.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/04-12.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/05-9.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/06-7.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/07-5.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/08-2.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/09-2.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/10-2.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/11-2.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/12-2.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/13-2.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/14-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/15-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/16-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/17-1.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/18-1.jpg']",2025,N/A,N/A,Geranium
https://precondo.ca/princeton-heights-townhomes/,Princeton Heights Townhomes,"Yonge Street & Calla Trail,  Aurora,   ON",43.9661749,-79.459588,Canada,N/A,"['https://precondo.ca/wp-content/uploads/2024/04/01-36.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/02-25.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/03-20.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/04-16.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/05-12.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/06-10.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/07-8.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/08-5.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/09-3.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/10-3.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/11-3.jpg', 'https://precondo.ca/wp-content/uploads/2024/04/12-3.jpg']",tba,30,N/A,Fernbrook
https://precondo.ca/debut-waterfront-residences/,Début Waterfront Residences,"55 Dunlop St W, Barrie, ON",44.3883938,-79.6917101,Canada,N/A,"['https://precondo.ca/wp-content/uploads/2020/09/Début-Waterfront-ResidencesMain1Featured.jpg', 'https://precondo.ca/wp-content/uploads/2020/09/Début-Waterfront-Residences6.jpg', 'https://precondo.ca/wp-content/uploads/2020/09/Début-Waterfront-Residences3.jpg', 'https://precondo.ca/wp-content/uploads/2020/09/Début-Waterfront-Residences4.jpg', 'https://precondo.ca/wp-content/uploads/2020/09/Début-Waterfront-Residences2.jpg']",2024,N/A,N/A,Gary
https://precondo.ca/soba-south-barrie-towns/,SOBA – South Barrie Towns,"Patterson Road & Phillips Street, Barrie, ON",44.36741,-79.70818,Canada,N/A,['https://precondo.ca/wp-content/uploads/2021/04/SOBA-South-Barrie-TownsMain1Featured.jpg'],tba,N/A,N/A,Sunrise
